,total_profit,algorithm,nbr_func,its,seed,temperature,alpha,zero_prob
0,29320,SA,bin_nbr_one_flip,10000,0,100,0.99,0.5
1,28045,SA,bin_nbr_one_flip,10000,0,100,0.999,0.5
2,29397,SA,bin_nbr_one_flip,10000,0,500,0.99,0.5
3,22588,SA,bin_nbr_one_flip,10000,0,500,0.999,0.5
4,29102,SA,bin_nbr_one_flip,10000,0,1000,0.99,0.5
5,15171,SA,bin_nbr_one_flip,10000,0,1000,0.999,0.5
6,27112,SA,bin_nbr_one_flip,10000,0,2500,0.99,0.5
7,8758,SA,bin_nbr_one_flip,10000,0,2500,0.999,0.5
8,30209,SA,bin_nbr_one_flip,50000,0,100,0.99,0.5
9,30392,SA,bin_nbr_one_flip,50000,0,100,0.999,0.5
10,30429,SA,bin_nbr_one_flip,50000,0,500,0.99,0.5
11,29487,SA,bin_nbr_one_flip,50000,0,500,0.999,0.5
12,30456,SA,bin_nbr_one_flip,50000,0,1000,0.99,0.5
13,26933,SA,bin_nbr_one_flip,50000,0,1000,0.999,0.5
14,28518,SA,bin_nbr_one_flip,50000,0,2500,0.99,0.5
15,25962,SA,bin_nbr_one_flip,50000,0,2500,0.999,0.5
16,29917,SA,bin_nbr_one_flip,10000,1,100,0.99,0.5
17,28650,SA,bin_nbr_one_flip,10000,1,100,0.999,0.5
18,29722,SA,bin_nbr_one_flip,10000,1,500,0.99,0.5
19,23011,SA,bin_nbr_one_flip,10000,1,500,0.999,0.5
20,28751,SA,bin_nbr_one_flip,10000,1,1000,0.99,0.5
21,18115,SA,bin_nbr_one_flip,10000,1,1000,0.999,0.5
22,28258,SA,bin_nbr_one_flip,10000,1,2500,0.99,0.5
23,14823,SA,bin_nbr_one_flip,10000,1,2500,0.999,0.5
24,30405,SA,bin_nbr_one_flip,50000,1,100,0.99,0.5
25,30733,SA,bin_nbr_one_flip,50000,1,100,0.999,0.5
26,31150,SA,bin_nbr_one_flip,50000,1,500,0.99,0.5
27,29329,SA,bin_nbr_one_flip,50000,1,500,0.999,0.5
28,29557,SA,bin_nbr_one_flip,50000,1,1000,0.99,0.5
29,28352,SA,bin_nbr_one_flip,50000,1,1000,0.999,0.5
30,29007,SA,bin_nbr_one_flip,50000,1,2500,0.99,0.5
31,23277,SA,bin_nbr_one_flip,50000,1,2500,0.999,0.5
32,30896,SA,bin_nbr_one_flip,10000,2,100,0.99,0.5
33,29828,SA,bin_nbr_one_flip,10000,2,100,0.999,0.5
34,29523,SA,bin_nbr_one_flip,10000,2,500,0.99,0.5
35,20426,SA,bin_nbr_one_flip,10000,2,500,0.999,0.5
36,30156,SA,bin_nbr_one_flip,10000,2,1000,0.99,0.5
37,15679,SA,bin_nbr_one_flip,10000,2,1000,0.999,0.5
38,29382,SA,bin_nbr_one_flip,10000,2,2500,0.99,0.5
39,6771,SA,bin_nbr_one_flip,10000,2,2500,0.999,0.5
40,32096,SA,bin_nbr_one_flip,50000,2,100,0.99,0.5
41,32035,SA,bin_nbr_one_flip,50000,2,100,0.999,0.5
42,30887,SA,bin_nbr_one_flip,50000,2,500,0.99,0.5
43,28692,SA,bin_nbr_one_flip,50000,2,500,0.999,0.5
44,31463,SA,bin_nbr_one_flip,50000,2,1000,0.99,0.5
45,25121,SA,bin_nbr_one_flip,50000,2,1000,0.999,0.5
46,31002,SA,bin_nbr_one_flip,50000,2,2500,0.99,0.5
47,23643,SA,bin_nbr_one_flip,50000,2,2500,0.999,0.5
48,31220,SA,bin_nbr_one_flip,10000,3,100,0.99,0.5
49,30036,SA,bin_nbr_one_flip,10000,3,100,0.999,0.5
50,31086,SA,bin_nbr_one_flip,10000,3,500,0.99,0.5
51,23254,SA,bin_nbr_one_flip,10000,3,500,0.999,0.5
52,30434,SA,bin_nbr_one_flip,10000,3,1000,0.99,0.5
53,20236,SA,bin_nbr_one_flip,10000,3,1000,0.999,0.5
54,27385,SA,bin_nbr_one_flip,10000,3,2500,0.99,0.5
55,14152,SA,bin_nbr_one_flip,10000,3,2500,0.999,0.5
56,31553,SA,bin_nbr_one_flip,50000,3,100,0.99,0.5
57,31918,SA,bin_nbr_one_flip,50000,3,100,0.999,0.5
58,31612,SA,bin_nbr_one_flip,50000,3,500,0.99,0.5
59,29923,SA,bin_nbr_one_flip,50000,3,500,0.999,0.5
60,31942,SA,bin_nbr_one_flip,50000,3,1000,0.99,0.5
61,27135,SA,bin_nbr_one_flip,50000,3,1000,0.999,0.5
62,29653,SA,bin_nbr_one_flip,50000,3,2500,0.99,0.5
63,22691,SA,bin_nbr_one_flip,50000,3,2500,0.999,0.5
64,28579,SA,bin_nbr_one_flip,10000,4,100,0.99,0.5
65,27216,SA,bin_nbr_one_flip,10000,4,100,0.999,0.5
66,29671,SA,bin_nbr_one_flip,10000,4,500,0.99,0.5
67,22068,SA,bin_nbr_one_flip,10000,4,500,0.999,0.5
68,28043,SA,bin_nbr_one_flip,10000,4,1000,0.99,0.5
69,16532,SA,bin_nbr_one_flip,10000,4,1000,0.999,0.5
70,26197,SA,bin_nbr_one_flip,10000,4,2500,0.99,0.5
71,13428,SA,bin_nbr_one_flip,10000,4,2500,0.999,0.5
72,29434,SA,bin_nbr_one_flip,50000,4,100,0.99,0.5
73,29939,SA,bin_nbr_one_flip,50000,4,100,0.999,0.5
74,31063,SA,bin_nbr_one_flip,50000,4,500,0.99,0.5
75,28964,SA,bin_nbr_one_flip,50000,4,500,0.999,0.5
76,29601,SA,bin_nbr_one_flip,50000,4,1000,0.99,0.5
77,25812,SA,bin_nbr_one_flip,50000,4,1000,0.999,0.5
78,28348,SA,bin_nbr_one_flip,50000,4,2500,0.99,0.5
79,24982,SA,bin_nbr_one_flip,50000,4,2500,0.999,0.5
80,32264,SA,int_nbr_one_day,10000,0,100,0.99,0.5
81,31151,SA,int_nbr_one_day,10000,0,100,0.999,0.5
82,31784,SA,int_nbr_one_day,10000,0,500,0.99,0.5
83,29373,SA,int_nbr_one_day,10000,0,500,0.999,0.5
84,31778,SA,int_nbr_one_day,10000,0,1000,0.99,0.5
85,28208,SA,int_nbr_one_day,10000,0,1000,0.999,0.5
86,31882,SA,int_nbr_one_day,10000,0,2500,0.99,0.5
87,25610,SA,int_nbr_one_day,10000,0,2500,0.999,0.5
88,32767,SA,int_nbr_one_day,50000,0,100,0.99,0.5
89,32769,SA,int_nbr_one_day,50000,0,100,0.999,0.5
90,32523,SA,int_nbr_one_day,50000,0,500,0.99,0.5
91,32529,SA,int_nbr_one_day,50000,0,500,0.999,0.5
92,32595,SA,int_nbr_one_day,50000,0,1000,0.99,0.5
93,32519,SA,int_nbr_one_day,50000,0,1000,0.999,0.5
94,32610,SA,int_nbr_one_day,50000,0,2500,0.99,0.5
95,32586,SA,int_nbr_one_day,50000,0,2500,0.999,0.5
96,31866,SA,int_nbr_one_day,10000,1,100,0.99,0.5
97,30699,SA,int_nbr_one_day,10000,1,100,0.999,0.5
98,30595,SA,int_nbr_one_day,10000,1,500,0.99,0.5
99,29833,SA,int_nbr_one_day,10000,1,500,0.999,0.5
100,31966,SA,int_nbr_one_day,10000,1,1000,0.99,0.5
101,28301,SA,int_nbr_one_day,10000,1,1000,0.999,0.5
102,32137,SA,int_nbr_one_day,10000,1,2500,0.99,0.5
103,23550,SA,int_nbr_one_day,10000,1,2500,0.999,0.5
104,32449,SA,int_nbr_one_day,50000,1,100,0.99,0.5
105,32516,SA,int_nbr_one_day,50000,1,100,0.999,0.5
106,32475,SA,int_nbr_one_day,50000,1,500,0.99,0.5
107,32581,SA,int_nbr_one_day,50000,1,500,0.999,0.5
108,32799,SA,int_nbr_one_day,50000,1,1000,0.99,0.5
109,32449,SA,int_nbr_one_day,50000,1,1000,0.999,0.5
110,32725,SA,int_nbr_one_day,50000,1,2500,0.99,0.5
111,30109,SA,int_nbr_one_day,50000,1,2500,0.999,0.5
112,31890,SA,int_nbr_one_day,10000,2,100,0.99,0.5
113,31122,SA,int_nbr_one_day,10000,2,100,0.999,0.5
114,31849,SA,int_nbr_one_day,10000,2,500,0.99,0.5
115,29624,SA,int_nbr_one_day,10000,2,500,0.999,0.5
116,31674,SA,int_nbr_one_day,10000,2,1000,0.99,0.5
117,28075,SA,int_nbr_one_day,10000,2,1000,0.999,0.5
118,31595,SA,int_nbr_one_day,10000,2,2500,0.99,0.5
119,26061,SA,int_nbr_one_day,10000,2,2500,0.999,0.5
120,32824,SA,int_nbr_one_day,50000,2,100,0.99,0.5
121,32582,SA,int_nbr_one_day,50000,2,100,0.999,0.5
122,32779,SA,int_nbr_one_day,50000,2,500,0.99,0.5
123,31917,SA,int_nbr_one_day,50000,2,500,0.999,0.5
124,32805,SA,int_nbr_one_day,50000,2,1000,0.99,0.5
125,32646,SA,int_nbr_one_day,50000,2,1000,0.999,0.5
126,32532,SA,int_nbr_one_day,50000,2,2500,0.99,0.5
127,32609,SA,int_nbr_one_day,50000,2,2500,0.999,0.5
128,31814,SA,int_nbr_one_day,10000,3,100,0.99,0.5
129,31396,SA,int_nbr_one_day,10000,3,100,0.999,0.5
130,32032,SA,int_nbr_one_day,10000,3,500,0.99,0.5
131,29348,SA,int_nbr_one_day,10000,3,500,0.999,0.5
132,31648,SA,int_nbr_one_day,10000,3,1000,0.99,0.5
133,28172,SA,int_nbr_one_day,10000,3,1000,0.999,0.5
134,31904,SA,int_nbr_one_day,10000,3,2500,0.99,0.5
135,26985,SA,int_nbr_one_day,10000,3,2500,0.999,0.5
136,32456,SA,int_nbr_one_day,50000,3,100,0.99,0.5
137,32557,SA,int_nbr_one_day,50000,3,100,0.999,0.5
138,32509,SA,int_nbr_one_day,50000,3,500,0.99,0.5
139,32793,SA,int_nbr_one_day,50000,3,500,0.999,0.5
140,32390,SA,int_nbr_one_day,50000,3,1000,0.99,0.5
141,32604,SA,int_nbr_one_day,50000,3,1000,0.999,0.5
142,32531,SA,int_nbr_one_day,50000,3,2500,0.99,0.5
143,32550,SA,int_nbr_one_day,50000,3,2500,0.999,0.5
144,31588,SA,int_nbr_one_day,10000,4,100,0.99,0.5
145,30985,SA,int_nbr_one_day,10000,4,100,0.999,0.5
146,31709,SA,int_nbr_one_day,10000,4,500,0.99,0.5
147,29464,SA,int_nbr_one_day,10000,4,500,0.999,0.5
148,31826,SA,int_nbr_one_day,10000,4,1000,0.99,0.5
149,28629,SA,int_nbr_one_day,10000,4,1000,0.999,0.5
150,31841,SA,int_nbr_one_day,10000,4,2500,0.99,0.5
151,25169,SA,int_nbr_one_day,10000,4,2500,0.999,0.5
152,32516,SA,int_nbr_one_day,50000,4,100,0.99,0.5
153,32759,SA,int_nbr_one_day,50000,4,100,0.999,0.5
154,32774,SA,int_nbr_one_day,50000,4,500,0.99,0.5
155,32524,SA,int_nbr_one_day,50000,4,500,0.999,0.5
156,32761,SA,int_nbr_one_day,50000,4,1000,0.99,0.5
157,32615,SA,int_nbr_one_day,50000,4,1000,0.999,0.5
158,32773,SA,int_nbr_one_day,50000,4,2500,0.99,0.5
159,32570,SA,int_nbr_one_day,50000,4,2500,0.999,0.5
160,18633,SA,int_nbr_every_day,10000,0,100,0.99,0.5
161,18183,SA,int_nbr_every_day,10000,0,100,0.999,0.5
162,16871,SA,int_nbr_every_day,10000,0,500,0.99,0.5
163,15520,SA,int_nbr_every_day,10000,0,500,0.999,0.5
164,13201,SA,int_nbr_every_day,10000,0,1000,0.99,0.5
165,13201,SA,int_nbr_every_day,10000,0,1000,0.999,0.5
166,6801,SA,int_nbr_every_day,10000,0,2500,0.99,0.5
167,6801,SA,int_nbr_every_day,10000,0,2500,0.999,0.5
168,20544,SA,int_nbr_every_day,50000,0,100,0.99,0.5
169,20317,SA,int_nbr_every_day,50000,0,100,0.999,0.5
170,18666,SA,int_nbr_every_day,50000,0,500,0.99,0.5
171,15520,SA,int_nbr_every_day,50000,0,500,0.999,0.5
172,15321,SA,int_nbr_every_day,50000,0,1000,0.99,0.5
173,13201,SA,int_nbr_every_day,50000,0,1000,0.999,0.5
174,12003,SA,int_nbr_every_day,50000,0,2500,0.99,0.5
175,6801,SA,int_nbr_every_day,50000,0,2500,0.999,0.5
176,19217,SA,int_nbr_every_day,10000,1,100,0.99,0.5
177,18286,SA,int_nbr_every_day,10000,1,100,0.999,0.5
178,17074,SA,int_nbr_every_day,10000,1,500,0.99,0.5
179,16748,SA,int_nbr_every_day,10000,1,500,0.999,0.5
180,12099,SA,int_nbr_every_day,10000,1,1000,0.99,0.5
181,10681,SA,int_nbr_every_day,10000,1,1000,0.999,0.5
182,7687,SA,int_nbr_every_day,10000,1,2500,0.99,0.5
183,6045,SA,int_nbr_every_day,10000,1,2500,0.999,0.5
184,21196,SA,int_nbr_every_day,50000,1,100,0.99,0.5
185,20065,SA,int_nbr_every_day,50000,1,100,0.999,0.5
186,19667,SA,int_nbr_every_day,50000,1,500,0.99,0.5
187,16748,SA,int_nbr_every_day,50000,1,500,0.999,0.5
188,15448,SA,int_nbr_every_day,50000,1,1000,0.99,0.5
189,10681,SA,int_nbr_every_day,50000,1,1000,0.999,0.5
190,14259,SA,int_nbr_every_day,50000,1,2500,0.99,0.5
191,6045,SA,int_nbr_every_day,50000,1,2500,0.999,0.5
192,19781,SA,int_nbr_every_day,10000,2,100,0.99,0.5
193,19107,SA,int_nbr_every_day,10000,2,100,0.999,0.5
194,15275,SA,int_nbr_every_day,10000,2,500,0.99,0.5
195,14250,SA,int_nbr_every_day,10000,2,500,0.999,0.5
196,13086,SA,int_nbr_every_day,10000,2,1000,0.99,0.5
197,11156,SA,int_nbr_every_day,10000,2,1000,0.999,0.5
198,11451,SA,int_nbr_every_day,10000,2,2500,0.99,0.5
199,15699,SA,int_nbr_every_day,10000,2,2500,0.999,0.5
200,21460,SA,int_nbr_every_day,50000,2,100,0.99,0.5
201,20361,SA,int_nbr_every_day,50000,2,100,0.999,0.5
202,18902,SA,int_nbr_every_day,50000,2,500,0.99,0.5
203,14250,SA,int_nbr_every_day,50000,2,500,0.999,0.5
204,16492,SA,int_nbr_every_day,50000,2,1000,0.99,0.5
205,11156,SA,int_nbr_every_day,50000,2,1000,0.999,0.5
206,15395,SA,int_nbr_every_day,50000,2,2500,0.99,0.5
207,15699,SA,int_nbr_every_day,50000,2,2500,0.999,0.5
208,20068,SA,int_nbr_every_day,10000,3,100,0.99,0.5
209,19215,SA,int_nbr_every_day,10000,3,100,0.999,0.5
210,16539,SA,int_nbr_every_day,10000,3,500,0.99,0.5
211,16489,SA,int_nbr_every_day,10000,3,500,0.999,0.5
212,14791,SA,int_nbr_every_day,10000,3,1000,0.99,0.5
213,14791,SA,int_nbr_every_day,10000,3,1000,0.999,0.5
214,7788,SA,int_nbr_every_day,10000,3,2500,0.99,0.5
215,6797,SA,int_nbr_every_day,10000,3,2500,0.999,0.5
216,21212,SA,int_nbr_every_day,50000,3,100,0.99,0.5
217,21097,SA,int_nbr_every_day,50000,3,100,0.999,0.5
218,19422,SA,int_nbr_every_day,50000,3,500,0.99,0.5
219,16489,SA,int_nbr_every_day,50000,3,500,0.999,0.5
220,17726,SA,int_nbr_every_day,50000,3,1000,0.99,0.5
221,14791,SA,int_nbr_every_day,50000,3,1000,0.999,0.5
222,14245,SA,int_nbr_every_day,50000,3,2500,0.99,0.5
223,6797,SA,int_nbr_every_day,50000,3,2500,0.999,0.5
224,20115,SA,int_nbr_every_day,10000,4,100,0.99,0.5
225,19150,SA,int_nbr_every_day,10000,4,100,0.999,0.5
226,15201,SA,int_nbr_every_day,10000,4,500,0.99,0.5
227,13181,SA,int_nbr_every_day,10000,4,500,0.999,0.5
228,13070,SA,int_nbr_every_day,10000,4,1000,0.99,0.5
229,5535,SA,int_nbr_every_day,10000,4,1000,0.999,0.5
230,4121,SA,int_nbr_every_day,10000,4,2500,0.99,0.5
231,4121,SA,int_nbr_every_day,10000,4,2500,0.999,0.5
232,21654,SA,int_nbr_every_day,50000,4,100,0.99,0.5
233,20860,SA,int_nbr_every_day,50000,4,100,0.999,0.5
234,17566,SA,int_nbr_every_day,50000,4,500,0.99,0.5
235,13181,SA,int_nbr_every_day,50000,4,500,0.999,0.5
236,17688,SA,int_nbr_every_day,50000,4,1000,0.99,0.5
237,5535,SA,int_nbr_every_day,50000,4,1000,0.999,0.5
238,10604,SA,int_nbr_every_day,50000,4,2500,0.99,0.5
239,4121,SA,int_nbr_every_day,50000,4,2500,0.999,0.5
240,11236,SA,int_nbr_both_dc_everyday,10000,0,100,0.99,0.5
241,11584,SA,int_nbr_both_dc_everyday,10000,0,100,0.999,0.5
242,11121,SA,int_nbr_both_dc_everyday,10000,0,500,0.99,0.5
243,10444,SA,int_nbr_both_dc_everyday,10000,0,500,0.999,0.5
244,10392,SA,int_nbr_both_dc_everyday,10000,0,1000,0.99,0.5
245,10392,SA,int_nbr_both_dc_everyday,10000,0,1000,0.999,0.5
246,194,SA,int_nbr_both_dc_everyday,10000,0,2500,0.99,0.5
247,194,SA,int_nbr_both_dc_everyday,10000,0,2500,0.999,0.5
248,12301,SA,int_nbr_both_dc_everyday,50000,0,100,0.99,0.5
249,12843,SA,int_nbr_both_dc_everyday,50000,0,100,0.999,0.5
250,13528,SA,int_nbr_both_dc_everyday,50000,0,500,0.99,0.5
251,10444,SA,int_nbr_both_dc_everyday,50000,0,500,0.999,0.5
252,10392,SA,int_nbr_both_dc_everyday,50000,0,1000,0.99,0.5
253,10392,SA,int_nbr_both_dc_everyday,50000,0,1000,0.999,0.5
254,194,SA,int_nbr_both_dc_everyday,50000,0,2500,0.99,0.5
255,194,SA,int_nbr_both_dc_everyday,50000,0,2500,0.999,0.5
256,14832,SA,int_nbr_both_dc_everyday,10000,1,100,0.99,0.5
257,14404,SA,int_nbr_both_dc_everyday,10000,1,100,0.999,0.5
258,10766,SA,int_nbr_both_dc_everyday,10000,1,500,0.99,0.5
259,10766,SA,int_nbr_both_dc_everyday,10000,1,500,0.999,0.5
260,10766,SA,int_nbr_both_dc_everyday,10000,1,1000,0.99,0.5
261,9803,SA,int_nbr_both_dc_everyday,10000,1,1000,0.999,0.5
262,8547,SA,int_nbr_both_dc_everyday,10000,1,2500,0.99,0.5
263,8547,SA,int_nbr_both_dc_everyday,10000,1,2500,0.999,0.5
264,15681,SA,int_nbr_both_dc_everyday,50000,1,100,0.99,0.5
265,14404,SA,int_nbr_both_dc_everyday,50000,1,100,0.999,0.5
266,11097,SA,int_nbr_both_dc_everyday,50000,1,500,0.99,0.5
267,10766,SA,int_nbr_both_dc_everyday,50000,1,500,0.999,0.5
268,10766,SA,int_nbr_both_dc_everyday,50000,1,1000,0.99,0.5
269,9803,SA,int_nbr_both_dc_everyday,50000,1,1000,0.999,0.5
270,8547,SA,int_nbr_both_dc_everyday,50000,1,2500,0.99,0.5
271,8547,SA,int_nbr_both_dc_everyday,50000,1,2500,0.999,0.5
272,13737,SA,int_nbr_both_dc_everyday,10000,2,100,0.99,0.5
273,10480,SA,int_nbr_both_dc_everyday,10000,2,100,0.999,0.5
274,11720,SA,int_nbr_both_dc_everyday,10000,2,500,0.99,0.5
275,11720,SA,int_nbr_both_dc_everyday,10000,2,500,0.999,0.5
276,11720,SA,int_nbr_both_dc_everyday,10000,2,1000,0.99,0.5
277,11720,SA,int_nbr_both_dc_everyday,10000,2,1000,0.999,0.5
278,4689,SA,int_nbr_both_dc_everyday,10000,2,2500,0.99,0.5
279,4689,SA,int_nbr_both_dc_everyday,10000,2,2500,0.999,0.5
280,14610,SA,int_nbr_both_dc_everyday,50000,2,100,0.99,0.5
281,11179,SA,int_nbr_both_dc_everyday,50000,2,100,0.999,0.5
282,12694,SA,int_nbr_both_dc_everyday,50000,2,500,0.99,0.5
283,11720,SA,int_nbr_both_dc_everyday,50000,2,500,0.999,0.5
284,11720,SA,int_nbr_both_dc_everyday,50000,2,1000,0.99,0.5
285,11720,SA,int_nbr_both_dc_everyday,50000,2,1000,0.999,0.5
286,4689,SA,int_nbr_both_dc_everyday,50000,2,2500,0.99,0.5
287,4689,SA,int_nbr_both_dc_everyday,50000,2,2500,0.999,0.5
288,20463,SA,int_nbr_both_dc_everyday,10000,3,100,0.99,0.5
289,20279,SA,int_nbr_both_dc_everyday,10000,3,100,0.999,0.5
290,14644,SA,int_nbr_both_dc_everyday,10000,3,500,0.99,0.5
291,14644,SA,int_nbr_both_dc_everyday,10000,3,500,0.999,0.5
292,15855,SA,int_nbr_both_dc_everyday,10000,3,1000,0.99,0.5
293,10251,SA,int_nbr_both_dc_everyday,10000,3,1000,0.999,0.5
294,11197,SA,int_nbr_both_dc_everyday,10000,3,2500,0.99,0.5
295,11517,SA,int_nbr_both_dc_everyday,10000,3,2500,0.999,0.5
296,20466,SA,int_nbr_both_dc_everyday,50000,3,100,0.99,0.5
297,20279,SA,int_nbr_both_dc_everyday,50000,3,100,0.999,0.5
298,14644,SA,int_nbr_both_dc_everyday,50000,3,500,0.99,0.5
299,14644,SA,int_nbr_both_dc_everyday,50000,3,500,0.999,0.5
300,15855,SA,int_nbr_both_dc_everyday,50000,3,1000,0.99,0.5
301,10251,SA,int_nbr_both_dc_everyday,50000,3,1000,0.999,0.5
302,11197,SA,int_nbr_both_dc_everyday,50000,3,2500,0.99,0.5
303,11517,SA,int_nbr_both_dc_everyday,50000,3,2500,0.999,0.5
304,16176,SA,int_nbr_both_dc_everyday,10000,4,100,0.99,0.5
305,15842,SA,int_nbr_both_dc_everyday,10000,4,100,0.999,0.5
306,15582,SA,int_nbr_both_dc_everyday,10000,4,500,0.99,0.5
307,15582,SA,int_nbr_both_dc_everyday,10000,4,500,0.999,0.5
308,15016,SA,int_nbr_both_dc_everyday,10000,4,1000,0.99,0.5
309,15016,SA,int_nbr_both_dc_everyday,10000,4,1000,0.999,0.5
310,12631,SA,int_nbr_both_dc_everyday,10000,4,2500,0.99,0.5
311,12631,SA,int_nbr_both_dc_everyday,10000,4,2500,0.999,0.5
312,16881,SA,int_nbr_both_dc_everyday,50000,4,100,0.99,0.5
313,16491,SA,int_nbr_both_dc_everyday,50000,4,100,0.999,0.5
314,15582,SA,int_nbr_both_dc_everyday,50000,4,500,0.99,0.5
315,15582,SA,int_nbr_both_dc_everyday,50000,4,500,0.999,0.5
316,15016,SA,int_nbr_both_dc_everyday,50000,4,1000,0.99,0.5
317,15016,SA,int_nbr_both_dc_everyday,50000,4,1000,0.999,0.5
318,12631,SA,int_nbr_both_dc_everyday,50000,4,2500,0.99,0.5
319,12631,SA,int_nbr_both_dc_everyday,50000,4,2500,0.999,0.5
